ID,MSG,HOUR
16386,177/43/74/42/16/62/55/214,1
16386,11/172/128/147/115/78/201/98,2
16386,66/236/229/8/115/224/59/253,3
16793600,124/84/189/199/131/112/142/103,4
16386,63/181/90/218/205/132/38/146,5
16793600,98/154/29/138/255/177/152/192,6
16793600,180/172/37/51/232/152/67/50,7
16386,64/107/209/175/212/17/46/84,8
16793600,4/89/164/157/83/64/42/189,9
16386,123/192/59/80/47/29/145/215,10
16793600,11/159/105/169/222/186/164/165,11
16386,200/96/213/92/27/248/192/134,12
16793601,49/61/94/236/86/19/202/50,13
16793601,123/116/123/99/233/38/199/89,14
16386,53/165/113/128/14/83/175/159,15
16793600,33/66/130/226/72/134/165/97,16
16793601,200/252/2/249/80/168/153/146,17
16386,24/233/26/6/193/104/82/154,18
16793600,143/192/88/171/86/24/223/189,19
16793601,159/167/242/234/88/50/184/165,20
16386,182/141/211/217/20/134/105/145,21
16793601,224/27/5/38/119/211/100/159,22
16793601,19/112/202/189/128/121/52/206,23
16793601,13/43/69/26/40/9/87/61,24
16793601,237/96/124/48/134/225/220/149,25
